ref_x,ref_y,reference_class,cnn15_class,cnn9_class,rf_class
2633,4674,2,6,3,3
9805,4578,2,2,2,5
6736,3694,2,2,2,2
9713,7704,1,1,1,1
8781,7696,1,1,1,1
9346,5905,6,5,5,5
6967,5790,2,5,5,5
5572,5384,2,5,5,3
4962,2835,6,6,6,6
9411,6276,5,4,4,5
1550,4994,6,6,6,3
7900,8960,2,2,2,2
9175,6121,4,4,4,4
5030,8582,4,4,4,4
5421,6399,5,5,5,5
4105,3812,2,3,6,2
6562,6459,6,6,6,6
3054,4226,3,3,2,3
4669,3157,6,6,6,6
7794,2803,6,6,6,6
9221,7170,5,3,3,5
3567,7278,5,1,1,5
8498,8813,2,5,5,2
6225,7172,6,6,6,6
7296,2802,6,6,6,6
5276,8937,6,6,6,6
9198,5625,6,3,3,3
9404,5584,4,4,4,4
8764,5954,4,4,4,4
9097,3719,5,2,2,5
6520,4474,6,6,6,6
8821,5864,4,4,4,4
1774,4749,2,1,1,2
4697,8270,2,2,2,2
8928,5910,4,3,4,4
5736,5343,3,2,2,3
3594,3245,1,1,1,1
6553,1878,1,1,1,4
9039,5972,4,4,4,4
725,6698,1,1,1,4
3601,5752,5,2,2,5
6011,10030,6,6,6,6
8944,7593,1,1,1,1
8982,7642,1,1,1,1
8527,9547,2,6,2,2
7545,5847,3,3,3,3
9196,6848,2,5,5,5
4602,5052,6,3,3,3
3457,7890,1,1,1,1
9722,7083,1,1,1,1
9269,7486,1,1,1,1
9816,4681,3,3,3,3
2274,5231,6,6,6,6
9868,7183,1,1,1,1
9029,7399,1,1,1,1
6769,3687,2,2,2,2
4377,3823,2,3,3,3
9784,7057,1,1,1,1
7743,9773,6,6,6,6
6959,1808,6,6,6,6
4627,8887,5,2,2,5
5416,2467,6,6,6,2
5518,7079,6,6,6,6
8032,8745,3,2,2,3
7053,884,5,2,2,5
5563,5780,6,6,6,6
7381,5587,2,3,3,3
8964,878,2,2,2,2
5371,9379,2,2,2,2
7092,3226,2,2,2,2
8971,6841,6,6,5,5
7830,5917,3,5,5,3
8436,6033,4,4,3,4
9596,8343,2,3,5,5
9152,7530,1,1,1,1
8302,6065,4,4,5,4
5726,7912,6,6,6,6
1546,5131,1,1,1,1
9764,7204,1,1,1,1
9746,7116,1,1,1,1
4467,6471,6,6,6,6
3427,7834,2,5,5,5
1544,7016,2,2,2,5
9060,6713,3,3,3,3
8061,6312,4,4,4,4
9322,7574,1,1,1,1
9759,1125,5,5,5,5
4955,9627,2,2,2,2
9298,1666,3,2,2,2
2445,5456,6,6,6,6
9739,1109,1,1,1,1
2872,6659,1,2,2,4
3634,4010,1,1,1,4
8924,8201,1,1,4,4
1374,5259,1,1,1,1
6829,5654,3,3,3,3
6572,6199,6,6,6,2
8388,6019,4,4,4,4
9684,8129,2,2,2,2
3739,3477,1,1,1,1
2590,6855,6,6,6,6
9343,7535,1,1,1,1
7529,3427,5,2,2,5
5689,4954,2,2,2,2
7074,5953,2,1,1,2
9112,5746,3,3,3,3
7155,5630,2,5,5,5
8900,6091,4,4,4,4
7099,2024,5,5,5,5
5986,4286,6,6,6,6
9247,6088,4,4,4,4
8426,8850,2,3,6,3
6651,5612,4,3,3,3
6407,3756,3,2,2,3
3483,7209,2,2,2,2
9948,1711,1,1,1,4
3146,5222,6,6,6,6
3949,8372,3,2,2,2
8506,6890,3,3,3,3
8750,5914,4,4,4,4
