system:index,B11,B12,B2,B3,B4,B8,NDBI,NDVI,NDWI,class,latitude,longitude,texture,.geo
0_0_0,2858,1986,1473.5,1675.333333,1622,3432,-0.09125596,0.35813218,-0.34394988,0,24.3933473,82.37699377,57105.37847,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,2742,1936.5,1474.5,1676,1656.75,3322.5,-0.095721,0.33453834,-0.3293988,0,24.3933473,82.37708361,60876.9605,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,2742,1936.5,1448.333333,1635.333333,1570.666667,3073,-0.056921754,0.32352307,-0.30534512,0,24.3933473,82.37717344,64142.93273,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,2729.333333,1958.5,1530,1730.5,1826,3339,-0.10046691,0.2929332,-0.31728968,0,24.3933473,82.37726327,64299.0447,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,2729.333333,1958.5,1468.75,1616,1630,3016,-0.049895566,0.29832113,-0.30224526,0,24.3933473,82.3773531,61024.23915,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,2520,1769.666667,1411,1582,1507,3060,-0.09677419,0.34004816,-0.31839725,0,24.3933473,82.37744293,62589.21398,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,2520,1769.666667,1444,1572,1536,3026,-0.09123693,0.32661113,-0.31622446,0,24.3933473,82.37753276,59617.79123,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,2520,1769.666667,1444,1572,1536,3026,-0.09123693,0.32661113,-0.31622446,0,24.3933473,82.37762259,55488.54557,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_8,2487,1731,1435,1584.666667,1476,3187,-0.12336975,0.36693117,-0.3358016,0,24.3933473,82.37771243,52410.60807,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_9,2487,1731,1430,1574,1492.666667,3195.333333,-0.124655366,0.36319682,-0.33994967,0,24.3933473,82.37780226,47304.84158,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_10,2536,1741,1436,1580.5,1498,3232,-0.120665744,0.3665962,-0.34316882,0,24.3933473,82.37789209,46976.52387,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_11,2536,1741,1425,1603.75,1512,3483,-0.1573351,0.39459458,-0.3694402,0,24.3933473,82.37798192,45929.45747,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_12,2531.5,1746.5,1459,1642,1597,3503,-0.16099097,0.3737255,-0.3617104,0,24.3933473,82.37807175,49935.2092,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_13,2531.5,1746.5,1468,1624,1569.5,3336.5,-0.13718472,0.36017123,-0.3452273,0,24.3933473,82.37816158,54881.57031,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_14,2400.375,1661.416667,1450.333333,1590.5,1601.333333,3215,-0.14507045,0.33504048,-0.33805016,0,24.3933473,82.37825142,54436.14236,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_15,2400.375,1661.416667,1439.75,1567,1509.5,3321,-0.16090974,0.37501293,-0.35883796,0,24.3933473,82.37834125,51353.00391,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_16,2310,1613.5,1417,1576,1512,3102,-0.14634146,0.3446034,-0.3262078,0,24.3933473,82.37843108,51756.28906,"{""type"":""MultiPoint"",""coordinates"":[]}"
