B11,B12,B2,B3,B4,B8,NDBI,NDVI,NDWI,texture,class
3341.0,2348.0,1952.0,1975.0,1946.0,1960.0,0.26051688,0.003584229,0.003811944,2002.907552,1
2208.5,2382.0,1604.0,1658.5,1686.0,1755.0,0.11441907,0.02005231,-0.028270105,1176.321615,4
3476.0,3003.0,1713.5,1971.5,2129.0,3740.0,-0.036585364,0.2744931,-0.30963844,26136.23655,2
3209.0,2704.0,1713.5,1940.5,2035.333333,3317.5,-0.01662453,0.23953047,-0.26188666,50565.37977,2
3378.25,2680.5,1792.0,2045.0,2266.0,3682.5,-0.043090325,0.23812726,-0.28590137,25367.60156,2
1484.5,1406.5,1648.0,1818.0,1566.5,1452.5,0.010895472,-0.037760846,0.111756615,26531.91884,1
4688.0,4367.5,2592.0,2994.0,3340.0,3646.5,0.12496251,0.043870322,-0.09826067,20911.32118,5
1323.0,1248.0,1576.0,1646.0,1467.0,1414.0,-0.03324808,-0.01839639,0.075817,562.2903646,1
3989.75,3499.0,1778.8,2067.0,2476.0,3291.666667,0.09587191,0.14142056,-0.22853944,36945.68403,2
5680.0,5325.0,2648.0,3314.0,4128.0,4928.0,0.0708899,0.088339224,-0.19582626,29340.74392,5
2846.5,2285.0,1554.5,1744.0,1620.5,2562.5,0.052505083,0.22519723,-0.19006154,120693.6502,1
3067.0,2450.5,1699.0,1916.5,1912.5,3292.0,-0.035382923,0.26505908,-0.26408756,49418.56727,3
6165.5,5924.5,2810.0,3578.0,4482.0,5186.0,0.086288154,0.07281754,-0.18347786,8500.516493,5
3959.0,3743.0,2522.0,2690.0,2968.0,3282.0,0.09349538,0.05024,-0.09912927,43781.73134,5
4337.5,3907.0,2686.0,2874.0,3176.0,3466.0,0.11168066,0.043661546,-0.09337539,20127.13194,5
3124.0,2912.0,2264.0,2394.0,2532.0,2703.0,0.072249874,0.032664757,-0.060623895,6825.436632,5
5273.0,4272.5,2944.0,3334.0,3798.0,4204.0,0.112799406,0.050737314,-0.11541523,78781.14106,5
2302.0,2013.5,2893.0,3259.0,2627.0,2469.0,-0.035003144,-0.03100471,0.137919,67769.81207,1
5407.0,4776.0,3068.0,3410.0,3840.0,4086.0,0.13915516,0.031037092,-0.09018143,42162.69965,5
3007.5,2268.5,1486.25,1675.75,1676.0,3560.0,-0.08412638,0.35981664,-0.35988158,35103.11328,0
1159.0,1128.0,1631.0,1850.0,1552.0,1231.0,-0.030125523,-0.11534315,0.2009088,50.48263889,1
1153.0,1128.0,1608.0,1835.0,1550.0,1250.0,-0.04036621,-0.10714286,0.18962723,76.25651042,1
4910.0,3920.0,1953.0,2217.0,2496.0,3901.333333,0.11447378,0.21967487,-0.27529284,4364.618056,2
5680.0,5325.0,2336.0,2870.0,3526.0,4524.0,0.11328891,0.12397516,-0.22369489,31627.96745,5
3690.5,2816.5,1818.0,1907.0,1974.0,2918.0,0.11689491,0.19296812,-0.20953368,59154.85634,3
4198.0,3521.0,2060.0,2402.0,2698.0,3426.0,0.10125918,0.118876554,-0.1757035,32432.64497,5
5614.0,4968.0,3056.0,3364.0,3862.0,4300.0,0.13253984,0.053663317,-0.12212943,43408.2908,5
5865.0,5493.0,2496.0,3118.0,3796.0,4836.0,0.096159235,0.12048193,-0.21599196,32916.38281,5
4390.0,4010.0,2706.0,2884.0,3120.0,3406.0,0.12621857,0.043824703,-0.08298887,22004.94922,5
2617.5,1952.5,1914.0,1977.5,1960.5,1987.0,0.13693126,0.00671311,-0.002396267,20443.2947,1
1205.0,1149.0,1718.0,1844.0,1680.0,1374.0,-0.06552927,-0.100196466,0.14605345,132.6757812,1
3980.5,3319.5,2434.0,2780.0,2959.0,3135.0,0.1188251,0.028880866,-0.060016908,51371.0178,5
3901.0,3120.5,1766.0,1917.0,2099.0,3216.0,0.09624842,0.21015993,-0.2530684,32194.17057,3
2644.0,1928.0,1381.0,1506.0,1482.0,3205.0,-0.095913835,0.36761254,-0.3606453,29503.5,0
3303.0,2810.0,1800.0,1950.0,2130.0,2950.0,0.056452904,0.16141732,-0.20408164,38158.38238,3
3442.0,2796.5,1646.958333,1890.666667,2014.0,3820.0,-0.052051775,0.30956462,-0.3378473,43274.81771,2
2470.666667,1703.25,1372.666667,1521.333333,1443.666667,3436.0,-0.16343115,0.40829292,-0.38622916,18853.92882,0
3724.6,2952.25,1611.0,1874.0,1883.0,3998.0,-0.035402585,0.3596327,-0.36171663,53125.77734,2
2546.5,1736.0,1367.5,1580.0,1404.5,3337.0,-0.1343588,0.40757143,-0.3573317,31715.90451,0
6299.0,5993.0,2826.0,3578.0,4448.0,5344.0,0.08202353,0.09150327,-0.19793768,5360.476997,5
1202.5,1153.5,1720.0,1934.0,1695.0,1388.0,-0.0716078,-0.099578336,0.16435882,75.0546875,1
2733.25,1913.25,1420.666667,1591.833333,1559.25,3433.0,-0.11348064,0.37533176,-0.36641347,39395.50043,0
1154.0,1121.0,1422.0,1510.0,1311.0,1225.0,-0.029844472,-0.03391167,0.10420475,80.01388889,1
3431.0,3267.0,2216.0,2344.0,2500.0,2670.0,0.12473365,0.032882012,-0.065017946,18777.39366,5
3640.5,2969.0,1713.5,1995.75,2152.0,3745.0,-0.014149346,0.27013737,-0.3047076,5697.610677,2
3470.25,2945.5,1714.0,2003.0,2168.5,3942.0,-0.06364464,0.2902381,-0.32615644,11416.94314,2
2825.75,2185.0,1634.0,1843.0,1974.0,3483.0,-0.1041807,0.27652556,-0.3079234,57001.1888,0
4183.0,3745.0,2700.0,2882.0,3090.0,3360.0,0.109107785,0.041860465,-0.07657802,9767.790799,5
6602.0,6322.0,2992.0,3818.0,4792.0,5469.0,0.09386132,0.065977976,-0.17777538,644.8142361,5
1208.5,1154.5,1754.0,1970.0,1707.5,1380.0,-0.066254586,-0.10607287,0.1761194,69.90407986,1
1194.0,1138.0,1733.0,1980.0,1703.0,1384.0,-0.07370054,-0.10333657,0.17717004,74.18576389,1
4025.0,3280.25,1794.833333,2103.0,2322.333333,3737.5,0.037037037,0.23353228,-0.27985618,35134.17882,2
3826.0,3179.0,2580.0,2798.0,3070.0,3380.0,0.061892867,0.048062015,-0.094205245,127236.7153,5
